"Current","Field","Frequency","Spectra"
0,64.3758,1.0,-0.024109377745006735
0,64.3758,1.003125,-0.02419006722687061
0,64.3758,1.00625,-0.02427130096755027
0,64.3758,1.009375,-0.024353084827072248
0,64.3758,1.0125,-0.024435424750677216
0,64.3758,1.015625,-0.0245183267703483
0,64.3758,1.01875,-0.024601797006371582
0,64.3758,1.021875,-0.024685841668929696
0,64.3758,1.025,-0.02477046705972902
0,64.3758,1.028125,-0.024855679573661693
0,64.3758,1.03125,-0.02494148570050294
0,64.3758,1.034375,-0.025027892026644773
0,64.3758,1.0375,-0.025114905236866877
0,64.3758,1.040625,-0.025202532116145593
0,64.3758,1.04375,-0.02529077955150198
0,64.3758,1.046875,-0.02537965453388988
0,64.3758,1.05,-0.02546916416012494
0,64.3758,1.053125,-0.025559315634855712
0,64.3758,1.05625,-0.025650116272577718
0,64.3758,1.059375,-0.025741573499691826
0,64.3758,1.0625,-0.025833694856607584
0,64.3758,1.065625,-0.02592648799989316
0,64.3758,1.06875,-0.026019960704472732
0,64.3758,1.071875,-0.026114120865872552
0,64.3758,1.075,-0.026208976502517026
0,64.3758,1.078125,-0.02630453575807605
0,64.3758,1.08125,-0.026400806903864787
0,64.3758,1.084375,-0.026497798341297372
0,64.3758,1.0875,-0.02659551860439586
0,64.3758,1.090625,-0.02669397636235583
0,64.3758,1.09375,-0.026793180422170056
0,64.3758,1.096875,-0.026893139731311896
0,64.3758,1.1,-0.026993863380479745
0,64.3758,1.103125,-0.027095360606404308
0,64.3758,1.10625,-0.027197640794720188
0,64.3758,1.109375,-0.027300713482903555
0,64.3758,1.1125,-0.02740458836327761
0,64.3758,1.115625,-0.02750927528608768
0,64.3758,1.11875,-0.027614784262647532
0,64.3758,1.121875,-0.027721125468559177
0,64.3758,1.125,-0.027828309247007743
0,64.3758,1.128125,-0.02793634611213363
0,64.3758,1.13125,-0.028045246752484
0,64.3758,1.134375,-0.028155022034545535
0,64.3758,1.1375,-0.028265683006360877
0,64.3758,1.140625,-0.028377240901230824
