smooth,sample_rate,training_mse,testing_mse,nl,lmc
False,8,0.027995082545224943,0.017175009417252952,0.6293202353741572,4.926544397324086
False,13,0.028155689034669917,0.017343166844808876,0.6292012315950637,4.923221023051048
False,16,0.02823839574380638,0.017434586114168253,0.6289354493755044,4.91896285749648
False,32,0.0286766227207314,0.018016953747837204,0.628057784755917,4.9204235330188055
True,8,0.027995802751357067,0.017175555358619754,0.629319190853196,4.92677892221777
True,13,0.02815619641661243,0.01734347930052301,0.6292001896733432,4.926395167426422
True,16,0.02823878918822577,0.017434814259817546,0.6289344188147514,4.9218300334097975
True,32,0.02867679791518376,0.018015277960958254,0.6280543234623226,4.92411341633754
