"Current","Field","Frequency","Spectra"
0,51.192869,1,-0.019835456
0,51.192869,1.003125,-0.019914031
0,51.192869,1.00625,-0.019993161
0,51.192869,1.009375,-0.020072852
0,51.192869,1.0125,-0.020153109
0,51.192869,1.015625,-0.020233938
0,51.192869,1.01875,-0.020315346
0,51.192869,1.021875,-0.020397337
0,51.192869,1.025,-0.020479918
0,51.192869,1.028125,-0.020563096
0,51.192869,1.03125,-0.020646876
0,51.192869,1.034375,-0.020731265
0,51.192869,1.0375,-0.02081627
0,51.192869,1.040625,-0.020901896
0,51.192869,1.04375,-0.020988151
0,51.192869,1.046875,-0.021075041
0,51.192869,1.05,-0.021162573
0,51.192869,1.053125,-0.021250754
0,51.192869,1.05625,-0.02133959
0,51.192869,1.059375,-0.021429089
0,51.192869,1.0625,-0.021519258
0,51.192869,1.065625,-0.021610105
0,51.192869,1.06875,-0.021701636
0,51.192869,1.071875,-0.021793859
0,51.192869,1.075,-0.021886782
0,51.192869,1.078125,-0.021980412
0,51.192869,1.08125,-0.022074757
0,51.192869,1.084375,-0.022169825
0,51.192869,1.0875,-0.022265625
0,51.192869,1.090625,-0.022362163
0,51.192869,1.09375,-0.022459449
0,51.192869,1.096875,-0.022557491
0,51.192869,1.1,-0.022656297
0,51.192869,1.103125,-0.022755876
0,51.192869,1.10625,-0.022856237
0,51.192869,1.109375,-0.022957388
0,51.192869,1.1125,-0.023059339
0,51.192869,1.115625,-0.023162098
0,51.192869,1.11875,-0.023265675
0,51.192869,1.121875,-0.023370079
0,51.192869,1.125,-0.023475321
0,51.192869,1.128125,-0.023581408
0,51.192869,1.13125,-0.023688352
0,51.192869,1.134375,-0.023796162
0,51.192869,1.1375,-0.023904849
0,51.192869,1.140625,-0.024014422
0,51.192869,1.14375,-0.024124892
0,51.192869,1.146875,-0.02423627
0,51.192869,1.15,-0.024348567
0,51.192869,1.153125,-0.024461792
0,51.192869,1.15625,-0.024575958
0,51.192869,1.159375,-0.024691075
0,51.192869,1.1625,-0.024807156
0,51.192869,1.165625,-0.024924211
0,51.192869,1.16875,-0.025042252
0,51.192869,1.171875,-0.025161292
0,51.192869,1.175,-0.025281342
0,51.192869,1.178125,-0.025402414
0,51.192869,1.18125,-0.025524522
0,51.192869,1.184375,-0.025647678
0,51.192869,1.1875,-0.025771895
0,51.192869,1.190625,-0.025897186
0,51.192869,1.19375,-0.026023564
0,51.192869,1.196875,-0.026151043
0,51.192869,1.2,-0.026279636
0,51.192869,1.203125,-0.026409358
0,51.192869,1.20625,-0.026540223
0,51.192869,1.209375,-0.026672245
0,51.192869,1.2125,-0.026805439
0,51.192869,1.215625,-0.02693982
0,51.192869,1.21875,-0.027075402
0,51.192869,1.221875,-0.027212202
0,51.192869,1.225,-0.027350234
0,51.192869,1.228125,-0.027489515
0,51.192869,1.23125,-0.027630061
0,51.192869,1.234375,-0.027771889
0,51.192869,1.2375,-0.027915014
0,51.192869,1.240625,-0.028059455
0,51.192869,1.24375,-0.028205228
0,51.192869,1.246875,-0.02835235
0,51.192869,1.25,-0.02850084
0,51.192869,1.253125,-0.028650716
0,51.192869,1.25625,-0.028801996
0,51.192869,1.259375,-0.028954699
0,51.192869,1.2625,-0.029108844
0,51.192869,1.265625,-0.029264451
0,51.192869,1.26875,-0.029421539
0,51.192869,1.271875,-0.029580128
0,51.192869,1.275,-0.029740238
0,51.192869,1.278125,-0.029901892
0,51.192869,1.28125,-0.030065108
0,51.192869,1.284375,-0.03022991
0,51.192869,1.2875,-0.030396319
0,51.192869,1.290625,-0.030564357
0,51.192869,1.29375,-0.030734047
0,51.192869,1.296875,-0.030905412
0,51.192869,1.3,-0.031078476
0,51.192869,1.303125,-0.031253261
0,51.192869,1.30625,-0.031429794
0,51.192869,1.309375,-0.031608098
0,51.192869,1.3125,-0.031788198
0,51.192869,1.315625,-0.031970121
0,51.192869,1.31875,-0.032153892
0,51.192869,1.321875,-0.032339538
0,51.192869,1.325,-0.032527086
0,51.192869,1.328125,-0.032716564
0,51.192869,1.33125,-0.032908
0,51.192869,1.334375,-0.033101422
0,51.192869,1.3375,-0.033296859
0,51.192869,1.340625,-0.033494341
0,51.192869,1.34375,-0.033693899
0,51.192869,1.346875,-0.033895563
0,51.192869,1.35,-0.034099365
0,51.192869,1.353125,-0.034305335
0,51.192869,1.35625,-0.034513509
0,51.192869,1.359375,-0.034723917
0,51.192869,1.3625,-0.034936594
0,51.192869,1.365625,-0.035151575
0,51.192869,1.36875,-0.035368895
0,51.192869,1.371875,-0.035588589
0,51.192869,1.375,-0.035810694
0,51.192869,1.378125,-0.036035247
0,51.192869,1.38125,-0.036262286
0,51.192869,1.384375,-0.03649185
0,51.192869,1.3875,-0.036723978
0,51.192869,1.390625,-0.036958711
0,51.192869,1.39375,-0.037196089
0,51.192869,1.396875,-0.037436155
0,51.192869,1.4,-0.03767895
0,51.192869,1.403125,-0.037924519
0,51.192869,1.40625,-0.038172906
0,51.192869,1.409375,-0.038424156
0,51.192869,1.4125,-0.038678315
0,51.192869,1.415625,-0.03893543
0,51.192869,1.41875,-0.03919555
0,51.192869,1.421875,-0.039458724
0,51.192869,1.425,-0.039725002
0,51.192869,1.428125,-0.039994434
0,51.192869,1.43125,-0.040267073
0,51.192869,1.434375,-0.040542973
0,51.192869,1.4375,-0.040822187
0,51.192869,1.440625,-0.041104771
0,51.192869,1.44375,-0.041390782
0,51.192869,1.446875,-0.041680278
0,51.192869,1.45,-0.041973318
0,51.192869,1.453125,-0.042269962
0,51.192869,1.45625,-0.042570272
0,51.192869,1.459375,-0.04287431
0,51.192869,1.4625,-0.043182142
0,51.192869,1.465625,-0.043493832
0,51.192869,1.46875,-0.043809449
0,51.192869,1.471875,-0.04412906
0,51.192869,1.475,-0.044452735
0,51.192869,1.478125,-0.044780547
0,51.192869,1.48125,-0.045112569
0,51.192869,1.484375,-0.045448875
0,51.192869,1.4875,-0.045789542
0,51.192869,1.490625,-0.046134648
0,51.192869,1.49375,-0.046484272
0,51.192869,1.496875,-0.046838498
0,51.192869,1.5,-0.047197408
