"Current","Field","Frequency","Spectra"
0,71.748174,1,-0.022408863
0,71.748174,1.003125,-0.022505531
0,71.748174,1.00625,-0.022602971
0,71.748174,1.009375,-0.022701195
0,71.748174,1.0125,-0.022800209
0,71.748174,1.015625,-0.022900024
0,71.748174,1.01875,-0.02300065
0,71.748174,1.021875,-0.023102095
0,71.748174,1.025,-0.02320437
0,71.748174,1.028125,-0.023307484
0,71.748174,1.03125,-0.023411449
0,71.748174,1.034375,-0.023516273
0,71.748174,1.0375,-0.023621967
0,71.748174,1.040625,-0.023728542
0,71.748174,1.04375,-0.023836009
0,71.748174,1.046875,-0.023944378
0,71.748174,1.05,-0.02405366
0,71.748174,1.053125,-0.024163868
0,71.748174,1.05625,-0.024275011
0,71.748174,1.059375,-0.024387102
0,71.748174,1.0625,-0.024500153
0,71.748174,1.065625,-0.024614175
0,71.748174,1.06875,-0.024729181
0,71.748174,1.071875,-0.024845183
0,71.748174,1.075,-0.024962193
0,71.748174,1.078125,-0.025080224
0,71.748174,1.08125,-0.02519929
0,71.748174,1.084375,-0.025319403
0,71.748174,1.0875,-0.025440577
0,71.748174,1.090625,-0.025562826
0,71.748174,1.09375,-0.025686163
0,71.748174,1.096875,-0.025810602
0,71.748174,1.1,-0.025936157
0,71.748174,1.103125,-0.026062844
0,71.748174,1.10625,-0.026190677
0,71.748174,1.109375,-0.026319671
0,71.748174,1.1125,-0.026449841
0,71.748174,1.115625,-0.026581203
0,71.748174,1.11875,-0.026713772
0,71.748174,1.121875,-0.026847565
0,71.748174,1.125,-0.026982598
0,71.748174,1.128125,-0.027118888
0,71.748174,1.13125,-0.027256451
0,71.748174,1.134375,-0.027395305
0,71.748174,1.1375,-0.027535467
0,71.748174,1.140625,-0.027676956
0,71.748174,1.14375,-0.027819788
0,71.748174,1.146875,-0.027963983
0,71.748174,1.15,-0.028109559
0,71.748174,1.153125,-0.028256536
0,71.748174,1.15625,-0.028404932
0,71.748174,1.159375,-0.028554768
0,71.748174,1.1625,-0.028706064
0,71.748174,1.165625,-0.028858839
0,71.748174,1.16875,-0.029013116
0,71.748174,1.171875,-0.029168915
0,71.748174,1.175,-0.029326258
0,71.748174,1.178125,-0.029485166
0,71.748174,1.18125,-0.029645663
0,71.748174,1.184375,-0.029807771
0,71.748174,1.1875,-0.029971512
0,71.748174,1.190625,-0.030136912
0,71.748174,1.19375,-0.030303993
0,71.748174,1.196875,-0.030472781
0,71.748174,1.2,-0.0306433
0,71.748174,1.203125,-0.030815575
0,71.748174,1.20625,-0.030989634
0,71.748174,1.209375,-0.031165501
0,71.748174,1.2125,-0.031343204
0,71.748174,1.215625,-0.031522771
0,71.748174,1.21875,-0.031704229
0,71.748174,1.221875,-0.031887607
0,71.748174,1.225,-0.032072933
0,71.748174,1.228125,-0.032260237
0,71.748174,1.23125,-0.03244955
0,71.748174,1.234375,-0.032640902
0,71.748174,1.2375,-0.032834324
0,71.748174,1.240625,-0.033029848
0,71.748174,1.24375,-0.033227507
0,71.748174,1.246875,-0.033427334
0,71.748174,1.25,-0.033629363
0,71.748174,1.253125,-0.033833628
0,71.748174,1.25625,-0.034040164
0,71.748174,1.259375,-0.034249007
0,71.748174,1.2625,-0.034460195
0,71.748174,1.265625,-0.034673763
0,71.748174,1.26875,-0.03488975
0,71.748174,1.271875,-0.035108196
0,71.748174,1.275,-0.035329139
0,71.748174,1.278125,-0.03555262
