file_name,extracted_field_mT
scan_162_46_7994mT.txt,46.7994
scan_163_45_3346mT.txt,45.3346
scan_164_44_1389mT.txt,44.1389
scan_165_43_1388mT.txt,43.1388
scan_166_42_2545mT.txt,42.2545
scan_167_41_418mT.txt,41.418
scan_168_40_5884mT.txt,40.5884
scan_169_39_761mT.txt,39.761
scan_170_38_971mT.txt,38.971
scan_171_38_2966mT.txt,38.2966
scan_172_37_8636mT.txt,37.8636
scan_173_37_847mT.txt,37.847
scan_174_38_4457mT.txt,38.4457
scan_175_39_8093mT.txt,39.8093
scan_176_41_9384mT.txt,41.9384
scan_177_44_6463mT.txt,44.6463
scan_178_47_6385mT.txt,47.6385
scan_179_50_6377mT.txt,50.6377
scan_180_53_4571mT.txt,53.4571
scan_181_56_0031mT.txt,56.0031
scan_182_58_2458mT.txt,58.2458
scan_183_60_1871mT.txt,60.1871
scan_184_61_8403mT.txt,61.8403
scan_185_63_2199mT.txt,63.2199
scan_186_64_3406mT.txt,64.3406
scan_187_65_2202mT.txt,65.2202
scan_188_65_8867mT.txt,65.8867
scan_189_66_3857mT.txt,66.3857
scan_190_66_7889mT.txt,66.7889
scan_191_67_1973mT.txt,67.1973
scan_192_67_7266mT.txt,67.7266
scan_193_68_4632mT.txt,68.4632
scan_194_69_3918mT.txt,69.3918
scan_195_70_3358mT.txt,70.3358
scan_196_70_981mT.txt,70.981
scan_197_71_009mT.txt,71.009
scan_198_70_2469mT.txt,70.2469
scan_199_68_7049mT.txt,68.7049
scan_200_66_5157mT.txt,66.5157
scan_201_63_8604mT.txt,63.8604
scan_202_60_9206mT.txt,60.9206
scan_203_57_857mT.txt,57.857
scan_204_54_7999mT.txt,54.7999
scan_205_51_8469mT.txt,51.8469
scan_206_49_0624mT.txt,49.0624
scan_207_46_4798mT.txt,46.4798
scan_208_44_1024mT.txt,44.1024
scan_209_41_9073mT.txt,41.9073
scan_210_39_8561mT.txt,39.8561
scan_211_37_9131mT.txt,37.9131
scan_212_36_0677mT.txt,36.0677
scan_213_34_3425mT.txt,34.3425
scan_214_32_7846mT.txt,32.7846
scan_215_31_4514mT.txt,31.4514
scan_216_30_4067mT.txt,30.4067
scan_217_29_7301mT.txt,29.7301
scan_218_29_5301mT.txt,29.5301
scan_219_29_949mT.txt,29.949
scan_220_31_1383mT.txt,31.1383
scan_221_33_1874mT.txt,33.1874
scan_222_36_0299mT.txt,36.0299
scan_223_39_4128mT.txt,39.4128
scan_224_42_9794mT.txt,42.9794
scan_225_46_3987mT.txt,46.3987
scan_226_49_4422mT.txt,49.4422
scan_227_51_9887mT.txt,51.9887
scan_228_53_9938mT.txt,53.9938
scan_229_55_46mT.txt,55.46
scan_230_56_4187mT.txt,56.4187
scan_231_56_9228mT.txt,56.9228
scan_232_57_0419mT.txt,57.0419
scan_233_56_8608mT.txt,56.8608
scan_234_56_4795mT.txt,56.4795
scan_235_56_0173mT.txt,56.0173
scan_236_55_6171mT.txt,55.6171
scan_237_55_4445mT.txt,55.4445
scan_238_55_6697mT.txt,55.6697
scan_239_56_4264mT.txt,56.4264
scan_240_57_7527mT.txt,57.7527
scan_241_59_5313mT.txt,59.5313
scan_242_61_4643mT.txt,61.4643
scan_243_63_1479mT.txt,63.1479
scan_244_64_2533mT.txt,64.2533
scan_245_64_6658mT.txt,64.6658
scan_246_64_4696mT.txt,64.4696
scan_247_63_849mT.txt,63.849
scan_248_63_0062mT.txt,63.0062
scan_249_62_1188mT.txt,62.1188
scan_250_61_3234mT.txt,61.3234
scan_251_60_7102mT.txt,60.7102
scan_252_60_3184mT.txt,60.3184
scan_253_60_1325mT.txt,60.1325
scan_254_60_08mT.txt,60.08
scan_255_60_0339mT.txt,60.0339
scan_256_59_8196mT.txt,59.8196
scan_257_59_236mT.txt,59.236
scan_258_58_1104mT.txt,58.1104
scan_259_56_3915mT.txt,56.3915
scan_260_54_2051mT.txt,54.2051
scan_261_51_7963mT.txt,51.7963
scan_262_49_4161mT.txt,49.4161
scan_263_47_255mT.txt,47.255
scan_264_45_4321mT.txt,45.4321
scan_265_44_0048mT.txt,44.0048
scan_266_42_9795mT.txt,42.9795
scan_267_42_3187mT.txt,42.3187
scan_268_41_9517mT.txt,41.9517
scan_269_41_7887mT.txt,41.7887
scan_270_41_7394mT.txt,41.7394
scan_271_41_7341mT.txt,41.7341
scan_272_41_7418mT.txt,41.7418
scan_273_41_7852mT.txt,41.7852
scan_274_41_9504mT.txt,41.9504
scan_275_42_389mT.txt,42.389
scan_276_43_294mT.txt,43.294
scan_277_44_8248mT.txt,44.8248
scan_278_46_9926mT.txt,46.9926
scan_279_49_6094mT.txt,49.6094
scan_280_52_3773mT.txt,52.3773
scan_281_55_0338mT.txt,55.0338
scan_282_57_4294mT.txt,57.4294
scan_283_59_5202mT.txt,59.5202
scan_284_61_327mT.txt,61.327
scan_285_62_8961mT.txt,62.8961
scan_286_64_2749mT.txt,64.2749
scan_287_65_5005mT.txt,65.5005
scan_288_66_5977mT.txt,66.5977
scan_289_67_5827mT.txt,67.5827
scan_290_68_4691mT.txt,68.4691
scan_291_69_2752mT.txt,69.2752
scan_292_70_0294mT.txt,70.0294
scan_293_70_7697mT.txt,70.7697
scan_294_71_5229mT.txt,71.5229
scan_295_72_2531mT.txt,72.2531
scan_296_72_8006mT.txt,72.8006
scan_297_72_8952mT.txt,72.8952
scan_298_72_2915mT.txt,72.2915
scan_299_70_905mT.txt,70.905
scan_300_68_8159mT.txt,68.8159
scan_301_66_1869mT.txt,66.1869
scan_302_63_1939mT.txt,63.1939
scan_303_59_9935mT.txt,59.9935
scan_304_56_7148mT.txt,56.7148
scan_305_53_4598mT.txt,53.4598
scan_306_50_3051mT.txt,50.3051
scan_307_47_3053mT.txt,47.3053
scan_308_44_4946mT.txt,44.4946
scan_309_41_89mT.txt,41.89
scan_310_39_4936mT.txt,39.4936
scan_311_37_2974mT.txt,37.2974
scan_312_35_2909mT.txt,35.2909
scan_313_33_4699mT.txt,33.4699
scan_314_31_8442mT.txt,31.8442
scan_315_30_4381mT.txt,30.4381
scan_316_29_2885mT.txt,29.2885
scan_317_28_4489mT.txt,28.4489
scan_318_28_0mT.txt,28.0
scan_319_28_0621mT.txt,28.0621
scan_320_28_7954mT.txt,28.7954
scan_321_30_3609mT.txt,30.3609
scan_322_32_8237mT.txt,32.8237
scan_323_36_0446mT.txt,36.0446
scan_324_39_6784mT.txt,39.6784
scan_325_43_3084mT.txt,43.3084
scan_326_46_599mT.txt,46.599
scan_327_49_3568mT.txt,49.3568
scan_328_51_5112mT.txt,51.5112
scan_329_53_0685mT.txt,53.0685
scan_330_54_075mT.txt,54.075
scan_331_54_5955mT.txt,54.5955
scan_332_54_7049mT.txt,54.7049
scan_333_54_4863mT.txt,54.4863
scan_334_54_0322mT.txt,54.0322
scan_335_53_4487mT.txt,53.4487
scan_336_52_8624mT.txt,52.8624
scan_337_52_4255mT.txt,52.4255
scan_338_52_3124mT.txt,52.3124
scan_339_52_6951mT.txt,52.6951
scan_340_53_6922mT.txt,53.6922
scan_341_55_3049mT.txt,55.3049
scan_342_57_3621mT.txt,57.3621
scan_343_59_5232mT.txt,59.5232
scan_344_61_3993mT.txt,61.3993
scan_345_62_7367mT.txt,62.7367
scan_346_63_4964mT.txt,63.4964
scan_347_63_7946mT.txt,63.7946
scan_348_63_807mT.txt,63.807
scan_349_63_7057mT.txt,63.7057
scan_350_63_6309mT.txt,63.6309
scan_351_63_6786mT.txt,63.6786
scan_352_63_8961mT.txt,63.8961
scan_353_64_2816mT.txt,64.2816
scan_354_64_788mT.txt,64.788
scan_355_65_3306mT.txt,65.3306
scan_356_65_7915mT.txt,65.7915
scan_357_66_0149mT.txt,66.0149
scan_358_65_8025mT.txt,65.8025
scan_359_64_9534mT.txt,64.9534
scan_360_63_3752mT.txt,63.3752
scan_361_61_1758mT.txt,61.1758
scan_362_58_6088mT.txt,58.6088
scan_363_55_9412mT.txt,55.9412
scan_364_53_3718mT.txt,53.3718
scan_365_51_0159mT.txt,51.0159
scan_366_48_9174mT.txt,48.9174
scan_367_47_0666mT.txt,47.0666
scan_368_45_4185mT.txt,45.4185
scan_369_43_9123mT.txt,43.9123
scan_370_42_489mT.txt,42.489
scan_371_41_1066mT.txt,41.1066
scan_372_39_7484mT.txt,39.7484
scan_373_38_4248mT.txt,38.4248
scan_374_37_1714mT.txt,37.1714
scan_375_36_0494mT.txt,36.0494
scan_376_35_1517mT.txt,35.1517
scan_377_34_61mT.txt,34.61
scan_378_34_5914mT.txt,34.5914
scan_379_35_2671mT.txt,35.2671
scan_380_36_7447mT.txt,36.7447
scan_381_38_9925mT.txt,38.9925
scan_382_41_823mT.txt,41.823
scan_383_44_9619mT.txt,44.9619
scan_384_48_1445mT.txt,48.1445
