"Current","Field","Frequency","Spectra"
0,14.307200000000002,1.0,-0.02323320927416904
0,14.307200000000002,1.003125,-0.023293445298129958
0,14.307200000000002,1.00625,-0.02335391711294072
0,14.307200000000002,1.009375,-0.023414625951183904
0,14.307200000000002,1.0125,-0.0234755730534771
0,14.307200000000002,1.015625,-0.02353675966853537
0,14.307200000000002,1.01875,-0.023598187053234326
0,14.307200000000002,1.021875,-0.02365985647267376
0,14.307200000000002,1.025,-0.023721769200241896
0,14.307200000000002,1.028125,-0.023783926517680114
0,14.307200000000002,1.03125,-0.023846329715148364
0,14.307200000000002,1.034375,-0.023908980091291096
0,14.307200000000002,1.0375,-0.02397187895330388
0,14.307200000000002,1.040625,-0.024035027617000482
0,14.307200000000002,1.04375,-0.024098427406880764
0,14.307200000000002,1.046875,-0.024162079656198956
0,14.307200000000002,1.05,-0.02422598570703275
0,14.307200000000002,1.053125,-0.024290146910352903
0,14.307200000000002,1.05625,-0.02435456462609354
0,14.307200000000002,1.059375,-0.02441924022322308
0,14.307200000000002,1.0625,-0.024484175079815786
0,14.307200000000002,1.065625,-0.024549370583124005
0,14.307200000000002,1.06875,-0.024614828129651038
0,14.307200000000002,1.071875,-0.024680549125224733
0,14.307200000000002,1.075,-0.0247465349850717
0,14.307200000000002,1.078125,-0.024812787133892227
0,14.307200000000002,1.08125,-0.024879307005935866
0,14.307200000000002,1.084375,-0.02494609604507778
0,14.307200000000002,1.0875,-0.02501315570489571
0,14.307200000000002,1.090625,-0.025080487448747742
0,14.307200000000002,1.09375,-0.02514809274985071
0,14.307200000000002,1.096875,-0.025215973091359353
0,14.307200000000002,1.1,-0.02528412996644625
0,14.307200000000002,1.103125,-0.025352564878382444
0,14.307200000000002,1.10625,-0.02542127934061885
0,14.307200000000002,1.109375,-0.025490274876868394
0,14.307200000000002,1.1125,-0.025559553021188917
0,14.307200000000002,1.115625,-0.02562911531806687
0,14.307200000000002,1.11875,-0.02569896332250182
0,14.307200000000002,1.121875,-0.025769098600091668
0,14.307200000000002,1.125,-0.025839522727118747
0,14.307200000000002,1.128125,-0.025910237290636646
0,14.307200000000002,1.13125,-0.025981243888557912
0,14.307200000000002,1.134375,-0.026052544129742596
0,14.307200000000002,1.1375,-0.026124139634087513
0,14.307200000000002,1.140625,-0.026196032032616515
0,14.307200000000002,1.14375,-0.02626822296757144
0,14.307200000000002,1.146875,-0.026340714092504037
0,14.307200000000002,1.15,-0.026413507072368746
0,14.307200000000002,1.153125,-0.0264866035836163
0,14.307200000000002,1.15625,-0.0265600053142883
0,14.307200000000002,1.159375,-0.02663371396411256
0,14.307200000000002,1.1625,-0.0267077312445995
0,14.307200000000002,1.165625,-0.026782058879139366
0,14.307200000000002,1.16875,-0.02685669860310041
0,14.307200000000002,1.171875,-0.026931652163928
0,14.307200000000002,1.175,-0.027006921321244624
0,14.307200000000002,1.178125,-0.027082507846950977
0,14.307200000000002,1.18125,-0.027158413525327867
0,14.307200000000002,1.184375,-0.027234640153139204
0,14.307200000000002,1.1875,-0.027311189539735943
0,14.307200000000002,1.190625,-0.027388063507160974
0,14.307200000000002,1.19375,-0.027465263890255116
0,14.307200000000002,1.196875,-0.027542792536764064
0,14.307200000000002,1.2,-0.02762065130744638
0,14.307200000000002,1.203125,-0.027698842076182548
0,14.307200000000002,1.20625,-0.027777366730085018
0,14.307200000000002,1.209375,-0.027856227169609424
0,14.307200000000002,1.2125,-0.02793542530866676
0,14.307200000000002,1.215625,-0.028014963074736745
0,14.307200000000002,1.21875,-0.02809484240898221
0,14.307200000000002,1.221875,-0.028175065266364638
0,14.307200000000002,1.225,-0.02825563361576081
0,14.307200000000002,1.228125,-0.0283365494400806
0,14.307200000000002,1.23125,-0.028417814736385945
0,14.307200000000002,1.234375,-0.028499431516010896
0,14.307200000000002,1.2375,-0.02858140180468291
0,14.307200000000002,1.240625,-0.028663727642645333
0,14.307200000000002,1.24375,-0.028746411084781022
0,14.307200000000002,1.246875,-0.028829454200737258
