"Current","Field","Frequency","Spectra"
0,54.8238,1.0,-0.029475761013901078
0,54.8238,1.003125,-0.02954946580263345
0,54.8238,1.00625,-0.029623514727857948
0,54.8238,1.009375,-0.029697910451389482
0,54.8238,1.0125,-0.02977265566480465
0,54.8238,1.015625,-0.02984775308987101
0,54.8238,1.01875,-0.02992320547898397
0,54.8238,1.021875,-0.029999015615611063
0,54.8238,1.025,-0.03007518631474413
0,54.8238,1.028125,-0.030151720423359393
0,54.8238,1.03125,-0.030228620820885448
0,54.8238,1.034375,-0.030305890419679685
0,54.8238,1.0375,-0.030383532165512997
0,54.8238,1.040625,-0.03046154903806305
0,54.8238,1.04375,-0.030539944051416294
0,54.8238,1.046875,-0.030618720254578912
0,54.8238,1.05,-0.03069788073199689
0,54.8238,1.053125,-0.03077742860408533
0,54.8238,1.05625,-0.030857367027767216
0,54.8238,1.059375,-0.03093769919702206
0,54.8238,1.0625,-0.031018428343444003
0,54.8238,1.065625,-0.031099557736810522
0,54.8238,1.06875,-0.031181090685660964
0,54.8238,1.071875,-0.03126303053788587
0,54.8238,1.075,-0.03134538068132696
0,54.8238,1.078125,-0.031428144544388
0,54.8238,1.08125,-0.03151132559665682
0,54.8238,1.084375,-0.03159492734953901
0,54.8238,1.0875,-0.031678953356902906
0,54.8238,1.090625,-0.03176340721573671
0,54.8238,1.09375,-0.03184829256681772
0,54.8238,1.096875,-0.031933613095394005
0,54.8238,1.1,-0.03201937253187866
0,54.8238,1.103125,-0.03210557465255709
0,54.8238,1.10625,-0.032192223280307554
0,54.8238,1.109375,-0.03227932228533512
0,54.8238,1.1125,-0.03236687558591954
0,54.8238,1.115625,-0.03245488714917715
0,54.8238,1.11875,-0.03254336099183721
0,54.8238,1.121875,-0.032632301181033066
0,54.8238,1.125,-0.03272171183510807
0,54.8238,1.128125,-0.032811597124437264
0,54.8238,1.13125,-0.03290196127226452
0,54.8238,1.134375,-0.03299280855555572
0,54.8238,1.1375,-0.03308414330586856
0,54.8238,1.140625,-0.03317596991023896
0,54.8238,1.14375,-0.03326829281208459
0,54.8238,1.146875,-0.033361116512126185
0,54.8238,1.15,-0.03345444556932634
0,54.8238,1.153125,-0.033548284601847125
0,54.8238,1.15625,-0.03364263828802603
0,54.8238,1.159375,-0.03373751136737128
0,54.8238,1.1625,-0.03383290864157667
0,54.8238,1.165625,-0.03392883497555643
0,54.8238,1.16875,-0.034025295298500575
0,54.8238,1.171875,-0.03412229460495115
0,54.8238,1.175,-0.034219837955899994
0,54.8238,1.178125,-0.03431793047990839
0,54.8238,1.18125,-0.03441657737424897
0,54.8238,1.184375,-0.034515783906070865
0,54.8238,1.1875,-0.03461555541358796
0,54.8238,1.190625,-0.03471589730729141
0,54.8238,1.19375,-0.034816815071186655
0,54.8238,1.196875,-0.03491831426405536
0,54.8238,1.2,-0.035020400520743435
0,54.8238,1.203125,-0.035123079553474955
0,54.8238,1.20625,-0.035226357153193354
0,54.8238,1.209375,-0.03533023919092998
0,54.8238,1.2125,-0.03543473161920091
0,54.8238,1.215625,-0.03553984047343265
0,54.8238,1.21875,-0.03564557187341734
0,54.8238,1.221875,-0.035751932024798344
0,54.8238,1.225,-0.03585892722058672
0,54.8238,1.228125,-0.035966563842709375
0,54.8238,1.23125,-0.03607484836358981
0,54.8238,1.234375,-0.03618378734776209
0,54.8238,1.2375,-0.03629338745351882
0,54.8238,1.240625,-0.03640365543459413
0,54.8238,1.24375,-0.03651459814188218
0,54.8238,1.246875,-0.036626222525192625
0,54.8238,1.25,-0.0367385356350431
0,54.8238,1.253125,-0.03685154462449053
0,54.8238,1.25625,-0.0369652567510016
0,54.8238,1.259375,-0.03707967937836349
0,54.8238,1.2625,-0.03719481997863613
0,54.8238,1.265625,-0.03731068613414652
0,54.8238,1.26875,-0.037427285539526706
0,54.8238,1.271875,-0.03754462600379595
0,54.8238,1.275,-0.03766271545248877
0,54.8238,1.278125,-0.03778156192982936
0,54.8238,1.28125,-0.03790117360095427
0,54.8238,1.284375,-0.0380215587541837
0,54.8238,1.2875,-0.03814272580334368
0,54.8238,1.290625,-0.03826468329013934
0,54.8238,1.29375,-0.038387439886581505
0,54.8238,1.296875,-0.038511004397467186
0,54.8238,1.3,-0.03863538576291604
0,54.8238,1.303125,-0.038760593060963675
0,54.8238,1.30625,-0.03888663551021361
0,54.8238,1.309375,-0.0390135224725492
0,54.8238,1.3125,-0.0391412634559073
0,54.8238,1.315625,-0.03926986811711493
0,54.8238,1.31875,-0.03939934626479094
0,54.8238,1.321875,-0.03952970786231408
0,54.8238,1.325,-0.03966096303085952
0,54.8238,1.328125,-0.03979312205250515
0,54.8238,1.33125,-0.0399261953734101
0,54.8238,1.334375,-0.04006019360706687
0,54.8238,1.3375,-0.04019512753762916
0,54.8238,1.340625,-0.040331008123317726
0,54.8238,1.34375,-0.040467846499905855
0,54.8238,1.346875,-0.040605653984286824
0,54.8238,1.35,-0.04074444207812569
0,54.8238,1.353125,-0.04088422247159734
0,54.8238,1.35625,-0.041025007047213465
0,54.8238,1.359375,-0.0411668078837405
0,54.8238,1.3625,-0.041309637260211446
0,54.8238,1.365625,-0.041453507660033695
0,54.8238,1.36875,-0.041598431775195746
0,54.8238,1.371875,-0.04174442251057549
0,54.8238,1.375,-0.04189149298835268
0,54.8238,1.378125,-0.04203965655252864
0,54.8238,1.38125,-0.04218892677355637
0,54.8238,1.384375,-0.042339317453083274
0,54.8238,1.3875,-0.04249084262881096
0,54.8238,1.390625,-0.04264351657947402
0,54.8238,1.39375,-0.042797353829942195
0,54.8238,1.396875,-0.042952369156448664
0,54.8238,1.4,-0.04310857759194843
0,54.8238,1.403125,-0.043265994431610416
0,54.8238,1.40625,-0.04342463523844668
0,54.8238,1.409375,-0.04358451584908332
0,54.8238,1.4125,-0.0437456523796766
0,54.8238,1.415625,-0.043908061231978365
0,54.8238,1.41875,-0.04407175909955585
0,54.8238,1.421875,-0.04423676297416906
0,54.8238,1.425,-0.04440309015231143
0,54.8238,1.428125,-0.044570758241917835
0,54.8238,1.43125,-0.0447397851692451
0,54.8238,1.434375,-0.044910189185929886
0,54.8238,1.4375,-0.045081988876229155
0,54.8238,1.440625,-0.04525520316444878
0,54.8238,1.44375,-0.04542985132256562
0,54.8238,1.446875,-0.0456059529780487
0,54.8238,1.45,-0.045783528121885755
0,54.8238,1.453125,-0.045962597116820963
0,54.8238,1.45625,-0.04614318070581018
0,54.8238,1.459375,-0.046325300020700365
0,54.8238,1.4625,-0.04650897659113951
0,54.8238,1.465625,-0.046694232353724864
0,54.8238,1.46875,-0.04688108966139545
0,54.8238,1.471875,-0.047069571293077525
0,54.8238,1.475,-0.04725970046358964
0,54.8238,1.478125,-0.04745150083381596
0,54.8238,1.48125,-0.047644996521155704
0,54.8238,1.484375,-0.047840212110257074
0,54.8238,1.4875,-0.04803717266404495
0,54.8238,1.490625,-0.04823590373505088
0,54.8238,1.49375,-0.0484364313770549
0,54.8238,1.496875,-0.048638782157049316
0,54.8238,1.5,-0.04884298316753359
0,54.8238,1.503125,-0.049049062039151936
0,54.8238,1.50625,-0.04925704695368302
0,54.8238,1.509375,-0.0494669666573941
0,54.8238,1.5125000000000002,-0.04967885047477046
0,54.8238,1.515625,-0.04989272832263177
0,54.8238,1.51875,-0.050108630724648946
0,54.8238,1.521875,-0.05032658882627267
0,54.8238,1.525,-0.05054663441008801
0,54.8238,1.5281250000000002,-0.05076879991160832
0,54.8238,1.53125,-0.05099311843552247
0,54.8238,1.534375,-0.05121962377241082
0,54.8238,1.5375,-0.05144835041594385
0,54.8238,1.540625,-0.051679333580580564
0,54.8238,1.5437500000000002,-0.051912609219782316
0,54.8238,1.546875,-0.05214821404475856
0,54.8238,1.55,-0.05238618554376315
0,54.8238,1.553125,-0.05262656200195836
0,54.8238,1.55625,-0.052869382521865634
0,54.8238,1.5593750000000002,-0.05311468704442315
0,54.8238,1.5625,-0.0533625163706696
0,54.8238,1.565625,-0.05361291218407574
0,54.8238,1.56875,-0.053865917073545044
0,54.8238,1.571875,-0.05412157455710628
0,54.8238,1.5750000000000002,-0.054379929106321355
0,54.8238,1.578125,-0.05464102617143214
0,54.8238,1.58125,-0.05490491220727235
0,54.8238,1.584375,-0.05517163469996967
0,54.8238,1.5875,-0.05544124219446553
0,54.8238,1.5906250000000002,-0.055713784322880835
0,54.8238,1.59375,-0.05598931183375609
0,54.8238,1.596875,-0.05626787662219705
0,54.8238,1.6,-0.05654953176095621
0,54.8238,1.603125,-0.05683433153248357
0,54.8238,1.6062500000000002,-0.05712233146198007
0,54.8238,1.609375,-0.05741358835148839
0,54.8238,1.6125,-0.057708160315058626
0,54.8238,1.615625,-0.05800610681502524
0,54.8238,1.61875,-0.05830748869943553
0,54.8238,1.6218750000000002,-0.05861236824067015
0,54.8238,1.625,-0.0589208091752976
0,54.8238,1.628125,-0.059232876745207566
0,54.8238,1.63125,-0.05954863774006747
0,54.8238,1.634375,-0.05986816054115093
0,54.8238,1.6375000000000002,-0.0601915151665868
0,54.8238,1.640625,-0.060518773318079894
0,54.8238,1.64375,-0.060850008429157124
